provinceId,provinceTh,provinceEn,provinceDescTh,LAT,LON,photoRef
21,นครราชสีมา,Nakhon Ratchasima,เมืองหญิงกล้า ผ้าไหมดี หมี่โคราช ปราสาทหิน ดินด่านเกวียน,14.9798997,102.0977693,ATtYBwK6jwOtl1gWbDw_-vR3h42q_FY3b-ouLQb9nBmC_An08fHCdD-Qhpn4nZIRFAIZqtRLuXqigr0KDUUkOU8e5X6RWgC_5ELebdwY9O_iEgomuKlGU6h1ZYlWdjGR_S_M4NXDQJryUjq-GPit2a7SiemUU2rcH6ucck14iX_CpFfnk2hx
22,นครศรีธรรมราช,Nakhon Si Thammarat,เราชาวนคร อยู่เมืองพระ มั่นอยู่ในสัจจะ ศีลธรรม กอรปกรรมดี  มีมานะพากเพียร ไม่เบียดเบียน ทำอันตรายผู้ใด,8.4303975,99.9631219,ATtYBwJcf6MrbYX3MbeIQTXsoc8B4qvSNBWZtSQwVWXIKDj0cNBiY0PUA8TdT1_cpEiMBFozMfy18JR7axqf5_XcYbk2q2OBnFgs0Uy7kg3zBSQn_JI4_iPZMtF-nB60eknOPi3H-Cnv0vRNIvM9OwWiPfYwSL-UoK-_9K3IgtLlYbHelFz6
23,นครสวรรค์,Nakhon Sawan,เมืองสี่แคว แห่มังกร พักผ่อนบึงบอระเพ็ด ปลารสเด็ดปากน้ำโพ,15.693007199999998,100.1225595,ATtYBwImPGOOccpyFnCxWafKxTBEjOfELF4S35EcCB6rkc6LgNTzHZH4wJULEZavTN32W_7uVFothWgYkmIvgK2rdg6YJzALXlgHHm_i9Io_jXtfkQCW-85EoAxjMmt0PdDU4_ksDGdd4kRjuInpmGyLaQT1Dwy2mLB1ZWI6xVwRZmwU6c4a
24,นนทบุรี,Nonthaburi,พระตำหนักสง่างาม ลือนามสวนสมเด็จ เกาะเกร็ดแหล่งดินเผา วัดเก่านามละบือ เลื่องลือทุเรียนนท์ งามน่ายลศูนย์ราชการ,13.8621125,100.5143528,ATtYBwLFMRWkMXnxpb1ieQP4YF2u1LihIRISJIZhpC-AkePkLJIXdoNDZ4XHHMCLPsVP5G6djrIlNYwbQ6bXNVrLHB6WK6bVPaSyz0SqCm11PGEA8y4ONZymoyWkGu60K2JGcOjUTL5f0pG541aDB85Hv1k2stgtJAfBgSYAa7eGC4cSwdHH
25,นราธิวาส,Narathiwat,ทักษิณราชตำหนัก ชนรักศาสนา นราทัศน์เพลินตา ปาโจตรึงใจ แหล่งใหญ่แร่ทอง ลองกองหอมหวาน,6.4254607,101.82531429999999,ATtYBwKXGCiT5J5rPiFBiDFMUUsI_p5cdyfiZ5q80SXwRR8rKkkB8N2YjlqGOvQBl_jXICknA0Iq-YLsjq7Ih8sL0ARTdtantLfyRv8zDXi0xi3smmuoCGj1yfdtGrxtNP3jexPK8Qz8s5oiJXSufy2XuEDwZfm9v4m_ZvJyl7j_23lR9uhS
26,น่าน,Nan,แข่งเรือลือเลื่อง  เมืองงาช้างดำ  จิตรกรรมวัดภูมินทร์  แดนดินส้มสีทอง  เรืองรองพระธาตุแช่แห้ง,18.7756318,100.77304170000001,ATtYBwK2T3nw8ZMroPpj5QHrDNs5LrfZFJxxcdFOubNKttc9Wu7PxXMnm29MlLHO0tfkYbJaSAsxiz7DyHUqxZVtuvA9n_mckC4Czf8LVA_OUlPPm3HDqqRcWikw8rrxxXk4Ano4n-xRFRlO0UdDcaOCIZs16oiyBphIxI0oZ4XOXR-tBn7A
27,บึงกาฬ,Bueng Kan,ภูทอกแหล่งพระธรรม ค่าล้ำยางพารา งามตาแก่งอาฮง บึงโขงหลงเพลินใจ น้ำตกใสเจ็ดสี ประเพณีแข่งเรือ เหนือสุดแดนอีสาน นมัสการองค์พระใหญ่,18.360910399999998,103.6464463,ATtYBwI7uBHFOjPMsAnpU97vnCxNrhbXYFBH3veLto1xT4ceJGodJMj3yn7zywT0Rz6CCkLoqv7eJxDp5hmVBIEVVQqj8r5WPnkYoylntu3MH4TtQqP4PpCTUbjNxJoIs0YiyC1kqe2GLmF343azGc12w-Bln5BeO-uOhWB9SpWD7ioWYqWc
28,บุรีรัมย์,Buri Ram,เมืองปราสาทหิน ถิ่นภูเขาไฟ ผ้าไหมสวย รวยวัฒนธรรม,14.993001699999999,103.1029191,ATtYBwKSR-Pt-5kSJ4afxJvV3T3G2TG6hfpKyspEKXfEbejqyo5Hn52Pn6yQtfNz7U4wDL3Z9rywwkDQLqrQCAE2fcUijuTMBDCI1veCUpWTliCXDGi-1cdr6EeDVcSapS2dlHpPtyFyhBReflCZoWl8XYtiG3o02cLq-ShhKwhlEGRCoTIP
29,ปทุมธานี,Pathum Thani,ถิ่นบัวหลวง เมืองรวงข้าว เชื้อชาวมอญ นครธรรมะ พระตำหนักรวมใจ สดใสเจ้าพระยา ก้าวหน้าอุตสาหกรรม,14.0208391,100.5250276,ATtYBwJCTxDljwTneVimmbiYGuGaCmcyUTanna93NZoQvvwsiyqNo8zTYpcsD4gwCrlYDfdmg2MHJyB-AEHHyViHw3Woi0adKfSouw58cLtDXN9oQJH8oYn2scXbECP7LRDmwis1fi8PexmXLUtzkKPBO8c7OucuCoPLrdB3QouFMTm9lwWu
30,ประจวบคีรีขันธ์,Prachuap Khiri Khan,เมืองทองเนื้อเก้า มะพร้าวสัปปะรด สวยสดหาดเขาถ้ำ งามล้ำน้ำใจ,11.812367,99.7973271,ATtYBwJ8-HeUnbMYv82jv0Gie_xlFjdpwvVKmV7Lxh5X9qxrdEj7PEf6N2CchgmSBxG9oXxRbmKaH8R_fjFPLzW1SsBD0aIKoK9lWF9GPOPyrWnwdClmy2c9QIJz3kKqAG33AWhEEXRlGgU6ETXa9Wx53HDbPKZhk8bFDNXYFfzXzxsbMywS
31,ปราจีนบุรี,Prachin Buri,ศรีมหาโพธิ์คู่บ้าน ไผ่ตงหวานคู่เมือง ผลไม้ลือเลื่อง เขตเมืองทวารวดี,14.0420699,101.66008740000001,ATtYBwJQ-IZNJWMKhZbmXDmba3Y7lcXUZg2SXcIzvNofbW2_RNY2bpb03rRh7f1a1nL9z-Mde5xe-LIgy2M6CQR-uO4a_ouJh8Wy3lgn8xx3uygPBBXrwd4quWRXTiP0rBhWaRQwoWH8a-MCdVgX2cpyP8Bn9NwXnP7fe0AMBSwbc16Kah1W
32,ปัตตานี,Pattani,เมืองงามสามวัฒนธรรม  ศูนย์ฮาลาลเลิศล้ำ  ชนน้อมนำศรัทธา  ถิ่นธรรมชาติงามตา  ปัตตานีสันติสุขแดนใต้,6.7618307999999985,101.32325490000001,ATtYBwJo8ONYaeh8ihmk7H5AnaHkHk4PLraAGxooSBliLGXfjWFpDkW_98-5UcNb_8yBbMAp_InhbzcZnU59nCRS7zpXX62e10utLlsfkS4WZs8j3dKEVFzb6xjZaSpEYZnVZNJv0VU0K4OwSJBesC0Km3GDp8QZv2NXNZ3_BPA9og_zLA5V
