Thread_id,Thread_index,Index,Word,Label,LAT,LON,provinceEn,provinceId
37056768,17,343,อนุสาวรีย์พ่อขุนเม็งรายพ่อขุนสร้างเมืองเชียงราย,LOCATION,19.910435600000003,99.8403278,Chang Wat Chiang Rai,13
37056768,17,352,ดอยทอง,LOCATION,19.9141917,99.8230212,Chang Wat Chiang Rai,13
37056768,17,396,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,425,วัดร่องขุ่น,LOCATION,19.8242236,99.7632227,Chang Wat Chiang Rai,13
37056768,17,430,วัดขาว,LOCATION,18.7856369,98.991478,Chang Wat Chiang Mai,14
37056768,17,434,วัดร่องขุ่น,LOCATION,19.8242236,99.7632227,Chang Wat Chiang Rai,13
37056768,17,625,สิงห์ปาร์ค,LOCATION,19.8530809,99.7430214,Chang Wat Chiang Rai,13
37056768,17,787,สิงค์ปาร์ค,LOCATION,19.8530809,99.7430214,Chang Wat Chiang Rai,13
37056768,17,885,ซานแปง,LOCATION,37.8970199,-122.5811177,California,
37056768,17,987,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,1000,ไร่ชาฉุยฟง,LOCATION,20.199807,99.8164408,Chiang Rai,13
37056768,17,1075,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,1079,สามเหลี่ยมทองคำ,LOCATION,20.3529054,100.0829541,Chang Wat Chiang Rai,13
37056768,17,1100,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,1176,วัดพระแก้ว,LOCATION,13.7516435,100.4927041,Krung Thep Maha Nakhon,1
37056768,17,1208,พม่า,LOCATION,21.916221,95.955974,,
37056768,17,1216,พม่า,LOCATION,21.916221,95.955974,,
37056768,17,1230,วัดห้วยปลากั้ง,LOCATION,19.9498282,99.8064117,Chang Wat Chiang Rai,13
37056768,17,1322,วัดห้วยปลากั้ง,LOCATION,19.9498282,99.8064117,Chang Wat Chiang Rai,13
37056768,17,1328,เจ้าแม่กวนอิมสีขาว,LOCATION,13.8099342,100.5943273,Krung Thep Maha Nakhon,1
37056768,17,1416,วัดร่องเสือเต้น,LOCATION,19.9233711,99.8417417,Chang Wat Chiang Rai,13
37056768,17,1585,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,1639,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,1644,พระตำหนักดอยตุง,LOCATION,20.2871919,99.80951929999999,Chiang Rai,13
37056768,17,1667,ดอยตุง,LOCATION,20.3261111,99.8344444,Chiang Rai,13
37056768,17,1689,พระตำหนักดอยตุง,LOCATION,20.2871919,99.80951929999999,Chiang Rai,13
37056768,17,1716,เมืองหนาว,LOCATION,16.9098241,101.109292,Phetchabun,40
37056768,17,1993,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,2031,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37090333,18,7,ปางอุ๋ง,LOCATION,19.498392000000006,97.9092037,Chang Wat Mae Hong Son,45
37090333,18,28,ปางอุ๋ง,LOCATION,19.498392000000006,97.9092037,Chang Wat Mae Hong Son,45
