Thread_id,Thread_index,Word,LAT,LON,provinceTh,photoRef
40003970,221,อำเภอด่านซ้าย จังหวัดเลย,17.2791869,101.1473515,เลย,ATtYBwKR9n2GtPUc7ipntH_82tgGSQkg8dBb2ihSNJepcU6s6rAMS5jGaQJ6dLzgNSqj6evqqR63pcdtpM9kNFo6udy05NCLVL1yEF1gFzafb7wLkq097xsTWlF5tlqoiggSpOEZLc7iLpbtgdKr0vBP-t9O_ZYreru5Om3iuR69JnPeQ4Z9
40003970,221,สี่แยกอนุสาวรีย์พ่อขุนผาเมือง อำเภอหล่มสัก,16.7532116,101.2029755,เพชรบูรณ์,ATtYBwIViVnbGT06oOXg73hppsA8BnzcJz4HE_UFNjjUHK-jPwyI6j7asPJLAAkNngAN4E7ky3YNTJ_GSBpbnWkNobPSLOtGE4_pv5_yx2O9ptemaXn1l71K6FNzVvjIlcMCK02Qc8ZM_ZYWpo0vJ7HEUdFXsynhC5pGnxdpta4zOw0StMdQ
40003970,221,บ้านโป่งชี,17.2035861,101.1595759,เลย,ATtYBwIRgujBCZownrZ_jwu318ze0OjYQ2iXC-IRs5-2m9jagwWU7vdBsDrJObXAlPZFE4Wfl-yhrjgH93mdCYEny7DwKlpOvp5rerGd0F5qc7V9uMh2zWg16Cu8Cs9YpyZ1kVd9zvn36RLOxxtXcus9Z1vc3s9C10MF5FeIWU9gVPtkqDau
40003970,221,อำเภอด่านซ้าย,17.2791869,101.1473515,เลย,ATtYBwLIBYY3nd9_kkVvEKlgv0XwODOHsMTZCMn4B_7p0RqEF0-NaYSkAkbwtpU3KfB0rFBsalJ0H6BpGi5kMTCUoS74MsVMCDILNKNF50F4Dr2xufBAel83RSCHgh9wVo7nTHuzgKELIxQIBS_9xqgWZ0uljNbSYVv_6qsSWdTM3lde405G
40003970,221,อำเภอด่านซ้าย,17.2791869,101.1473515,เลย,ATtYBwLIBYY3nd9_kkVvEKlgv0XwODOHsMTZCMn4B_7p0RqEF0-NaYSkAkbwtpU3KfB0rFBsalJ0H6BpGi5kMTCUoS74MsVMCDILNKNF50F4Dr2xufBAel83RSCHgh9wVo7nTHuzgKELIxQIBS_9xqgWZ0uljNbSYVv_6qsSWdTM3lde405G
40003970,221,อำเภอด่านซ้าย,17.2791869,101.1473515,เลย,ATtYBwLIBYY3nd9_kkVvEKlgv0XwODOHsMTZCMn4B_7p0RqEF0-NaYSkAkbwtpU3KfB0rFBsalJ0H6BpGi5kMTCUoS74MsVMCDILNKNF50F4Dr2xufBAel83RSCHgh9wVo7nTHuzgKELIxQIBS_9xqgWZ0uljNbSYVv_6qsSWdTM3lde405G
40003970,221,วัดเนรมิตวิปัสสนา,17.263912,101.141931,เลย,ATtYBwL6bPGSLcl11hVQD9Fu3TxFa41nK49CJLlXWfWjvLZ1AtfJa6cKqzadzDmH4X4-3bOZ2wrJo4JKHT_FGuCWDKEouT2n3k3n7VzsoUn5IPbrp5tqMINNztbTB4QGxFhWlx15aKIgyO0kwS--YAZbUsATafgnfWSvo2F8F9IIICX4AAG3
40003970,221,อำเภอด่านซ้าย,17.2791869,101.1473515,เลย,ATtYBwLIBYY3nd9_kkVvEKlgv0XwODOHsMTZCMn4B_7p0RqEF0-NaYSkAkbwtpU3KfB0rFBsalJ0H6BpGi5kMTCUoS74MsVMCDILNKNF50F4Dr2xufBAel83RSCHgh9wVo7nTHuzgKELIxQIBS_9xqgWZ0uljNbSYVv_6qsSWdTM3lde405G
40003970,221,อำเภอนครไทย,17.0901878,100.8903099,พิษณุโลก,ATtYBwJUrA2VTC8sT9xEO3ViTGSgt5UA36E-Ak8Mb2nw3qd7o-06INaAMqlDMv7NquwoAxPEFSsujf_M0ohW1ugx9ViUnRbtTSUACo5vhiOqBA8Mhuh0Wu-dKScY-FMgyra9zre86CuaM5CVZsdpsNs2zxsHv7x0fUcfn1gmZ9BQtgEztq1Q
40003970,221,พระธาตุศรีสองรัก,17.2700204,101.1407406,เลย,ATtYBwKFTOVb3PceWIfBnT5MvPUYWHPhtlrosrYwwja-kr5hza4E6XMV6ZvHIDaR7t24_XdxDDpHVh5GMZeNd_GJwMTFwYbDYndkA98TPzFsRKiDVHzwb8-aDumoykaRYsgKU-lBYS5HVbkKLxqgku3KfVTMpMkk-6AQk47s_QDKUIhiIBFT
40003970,221,วัดเนรมิตวิปัสสนา,17.263912,101.141931,เลย,ATtYBwL6bPGSLcl11hVQD9Fu3TxFa41nK49CJLlXWfWjvLZ1AtfJa6cKqzadzDmH4X4-3bOZ2wrJo4JKHT_FGuCWDKEouT2n3k3n7VzsoUn5IPbrp5tqMINNztbTB4QGxFhWlx15aKIgyO0kwS--YAZbUsATafgnfWSvo2F8F9IIICX4AAG3
40003970,221,พระธาตุศรีสองรัก,17.2700204,101.1407406,เลย,ATtYBwKFTOVb3PceWIfBnT5MvPUYWHPhtlrosrYwwja-kr5hza4E6XMV6ZvHIDaR7t24_XdxDDpHVh5GMZeNd_GJwMTFwYbDYndkA98TPzFsRKiDVHzwb8-aDumoykaRYsgKU-lBYS5HVbkKLxqgku3KfVTMpMkk-6AQk47s_QDKUIhiIBFT
40003970,221,พระธาตุศรีสองรัก,17.2700204,101.1407406,เลย,ATtYBwKFTOVb3PceWIfBnT5MvPUYWHPhtlrosrYwwja-kr5hza4E6XMV6ZvHIDaR7t24_XdxDDpHVh5GMZeNd_GJwMTFwYbDYndkA98TPzFsRKiDVHzwb8-aDumoykaRYsgKU-lBYS5HVbkKLxqgku3KfVTMpMkk-6AQk47s_QDKUIhiIBFT
40003970,221,ไทย,15.870032,100.992541,,ATtYBwIx79G6r7X9PYdKAWnK9n4cPvG2xOvZqfn1WAs20twh25ZbhqFu2U9S3y5cgEc0UmnMBgu47yZ1qIx3WfGBpR-yf88Uzo1xNw0aEcrjjqUzTacL7RoOYavf7p-SNXFtU9MmaU3ofiIfqr6c7PYOblBqQXopEEN3U7Ipz1fI9yWICIGE
40003970,221,ลาว,19.85627,102.495496,,ATtYBwIna5W4d9duuEnws8oB4YI-4hoE2esrGrWk8pENVZDlGr5Tjvvmbqgg6APmJ5UyMQggkLnYCriFJbytXYVgjYLnkXir1f19q7NmdFws9GKBeU0dRxWgzzbaksd0bZ0zYKKF2X03RfGqt2YpN1XD74hRPpvZP99-6gHFaf8BOwzoqSGc
